item_id,item_type,source,url,author,title,content,item_pub_time,tags,cmt_cnt,fav_cnt,gmt_create,exinfo1,exinfo2
u45670-feed-2828-1-1,opinion,P2P理财,http://licai.p2peye.com/u45670/feed-2828-1-1.html,水自闲,,"#r##n#                                            11月份悄然到来，往来的到这个时候就是雷节的高发节，今年或许也不例外。看国内外的经济下限，个人投资的收益一直保持在较高的水平，有时候自已也在否是真实的标高，平台如何保持收益。投资三年来，明显感觉收益一直在下降，13年的时候40%的收益太多，同时好多投资人在组团中中雷，最后老投资人越来越来小心。四个月前朋友介绍3m投资月收益30%，看看像庞氏，劝说朋友不要投资。目前3m在国内还是活得很好，也许风险在每个人眼中各不相同。#n#     我想不管做什么投资，不能影响自己生活水平，以最坏的打算，做万全的准备。#n#      引用别人名人一句话：这是最好的时代，也是最坏的时代。#r##n#                                                        ",2015-11-02 21:47:18,,3,1,,,
u295193-feed-268-1-1,opinion,P2P理财,http://licai.p2peye.com/u295193/feed-268-1-1.html,被冬覆盖,,"#r##n#                                            短期标时间成本太高，现在开始投点长期，目前综合收益为11.68%，略低于行业平均值，但是重在安全。#n##n#重仓拍拍贷，坚持做纯信息中介，c轮。有红杉、君联资本护体，安全性、资本充足率都是妥妥的。3月份，推出了魔镜风控，从运营报告看，他在行业内坏账率控制得比较好。但是年化8%，直接拉低了我的综合收益。#n##n#和信贷，上市系，主要做抵押贷和信用贷，我投资的是房产抵押标。信息披露非常完善，借款人的身份证，借款合同、房屋信息，房屋他项权证都有公示，平台的房产估值参考了链家上同类房屋的报价，可信度高，放款成数控制在6-7，风控严谨。目前平台的风险准备金存放在招商银行，有托管报告。粗略算了下，可抵御的坏账率为1.06%。#n##n#你我贷，投资的是新手标，年化18%。从天眼数据看，平台最近三个月资金呈正向流入明显。贷款余额稳重有升，接近80亿。平台前十借款人借款金额占总借款金额的1.1%，风险聚集度低。#n##n#团贷网，近期抄底融金所风头正盛，唐军在资本市场游说的能力很强啊。抢了一个车辆抵押标，但是团贷网收提现费，略坑。#n##n#个人经验，长期标看平台综合实力，短期标看数据，以及舆情。呼呼呼~码字好辛苦，且码且珍惜，求赞。。#r##n#                                                        ",2015-10-26 16:55:14,,7,13,,,
u31002-feed-36658-1-1,opinion,P2P理财,http://licai.p2peye.com/u31002/feed-36658-1-1.html,drf1982,,"#r##n#                                            黑火居然出事了。有朋友前天还跟我聊到黑火投资的事，我是坚决不碰新平台，坚决不投2分以上的高息平台，坚决投点小额汽车抵押的平台，避过此雷。希望投资黑火的朋友能早点拿回自己的投资，也希望能通过此雷能长点记性。投点小额汽车抵押平台吧。汽车抵押平台多的是，干嘛要去投没抵押的呢？低息车贷平台由微贷，中息车贷平台由玖融，富春贷，恒信易贷等，都是全车贷的。#r##n#                                                        ",2016-01-11 14:02:17,,4,8,,,
u358475-feed-45057-1-1,opinion,P2P理财,http://licai.p2peye.com/u358475/feed-45057-1-1.html,东小白,,"#r##n#                                                   太高收益的产品一般都是长定期，但是P2P毕竟不比银行，特别是下半年以来，行业发展很不稳定，所以我开始把投资方向转为活期。活期方便灵活，能随存随取，相对而言，楼主比较放心。#n#　　投资越来越顺手以后，楼主开始接触现在比较热门的P2F投资。P2F实际对投资者而言和P2P并没有很多区别，但它有一个最大的优势是，P2F产品的资金是流向信托、基金、资管、证券、银行理财等金融机构，相对于一直被诟病的P2P而言，P2F的安全性确实更上一筹。2个月前，楼主把一部分资金转移到P2F活期，比如懒财主的懒活期，因为平台的资产列表非常透明，收益能达到10%，所以我买的最多。之后听说该平台定期31天的懒定制期期20秒就抢光，所以我也入手了10W，产品预期年化18%，收益确实是高。#n#　　互联网金融现在正处于发展阶段，问题平台肯定还会越来越多。我现在打算暂不改变手里持仓的活期（试水过后，体验还不错），先观察局势，再做定期投资计划。如果是着手投资定期产品，九成以上几率会选择P2F。#r##n#                                                        ",2016-01-20 12:01:43,,5,2,,,
u143539-feed-131-1-1,opinion,P2P理财,http://licai.p2peye.com/u143539/feed-131-1-1.html,小黄豆,,"#r##n#                                            本人是以稳定投资为主薅羊毛为辅投资策略，年化收益率在12%左右。投资的平台都是经过自己严格考究过的。#n#微贷网：占比37.04%，微贷获得过2次风投，在天眼评级稳定在前五，利率在我的接受范围之内（11%以上），考虑了安全性收益率流动性后属于重仓平台。#n#小牛在线：占比57.41%，此平台投之前也没有想着重仓，主要还是平台引导得力，不同的投资有不同的返现，为了得到那些返现，一步步的加大了投资，算下来收益率还是不错的。#n#大同行、利魔方、投友圈：各占比1.85%，属于薅羊毛，投友圈的乐定存目前全场加息6%，必须的上啊，还会加大薅的力度。#r##n#                                                        ",2015-10-26 11:20:54,,5,7,,,
u315154-feed-1807-1-1,opinion,P2P理财,http://licai.p2peye.com/u315154/feed-1807-1-1.html,美女也爱投资,,"#r##n#                                            自从接触了网贷，我就默默的爱上了它！我不太愿意接触高风险的投资，比如股票……自己还是不愿意冒大风险！自己投的平台包括国资背景、收益高、活动多的各类平台，但是投资资本在线的是最多的，之前看到这个平台的收益挺高，还有些犹豫，后来仔细观察了一段时间，这个平台不仅有创新供应链模式的安全还有风险备用金保驾护航，所以自己才豪掷千金，勇敢去投。总之在投资期间，收获还是颇多的。#r##n#                                                        ",2015-10-30 10:44:44,,4,3,,,
u46302-feed-1838-1-1,opinion,P2P理财,http://licai.p2peye.com/u46302/feed-1838-1-1.html,pleaseme,,"#r##n#                                            我的网贷之路到今日已经有一年半的时间了，目前我仍在投的有十来家，下面简要分析下我投的最主要的几家：#n#翼龙贷。当初看好它的原因是基本上是贷给农民的，你说一个农民有家有室的，他会为了你几万块钱跑路吗？即使到期还不上，那也是暂时的，可以延期再还嘛，反正第四十天平台会连本带息及罚息全部给你的。联想控股进入提高了平台的安全性，如果再降息就考虑撤出了。#n#腾邦创投，东方金钰。两家都是上市公司系平台，这么大一个上市公司，如果不是亏得太厉害，我想平台不会倒闭吧，更不会故意骗钱跑路吧，我想不是走投无路了平台应该是安全的。#n#易融恒信。选它是因为其是从湖北的另一个比较出名的平台——一起好过去的人创立的，而且还加入了当地政府倡导的常青藤组织，算是被当地政府间接认可了吧；还有，其在网贷天眼平台上基本上每月都被网贷名人亦飞所推荐，加大了它的知名度，也吸引了更多的投资人，投资人多了，我想安全性也更好了吧。#n#果树财富。投此平台的理由仍是：股东众多，不会恶意跑路，算是小而美的平台吧。目前利率在17左右。#n#真融宝。此平台有风投一亿美金进入，而活期平台10左右的利率也不低，同时当日提现当日到账，满足了我还信用卡的需求。#n##r##n#                                                        ",2015-10-30 11:45:08,,5,4,,,
u316315-feed-1065-1-1,opinion,P2P理财,http://licai.p2peye.com/u316315/feed-1065-1-1.html,天涯何处不相逢,,"#r##n#                                            我的组合大概就这样，思路很简单，高利率、低风险、大企业、小平台、长期标、活期标都有个覆盖，没办法整天盯着这里边的钱不做别的事，所以选择并不适宜太多，平时都是对高息的平台保持高度关注，尽量保持信息对称吧，就可以了。#r##n#                                                        ",2015-10-28 16:54:17,,12,15,,,
u25353-feed-21940-1-1,opinion,P2P理财,http://licai.p2peye.com/u25353/feed-21940-1-1.html,wf439633389,,"#r##n#                                            我投的平台都是收益比较高而且发标资料很透明的平台（微贷除外），迷你贷和车财网还有办公室或者车库24小时高清监控，果树财富非常的稳，玖融降息快所以投的稍微少一些。总的来收说，这几个平台过冬能保证安全和收益。#r##n#                                                        ",2015-12-23 17:13:10,,4,7,,,
u316858-feed-1614-1-1,opinion,P2P理财,http://licai.p2peye.com/u316858/feed-1614-1-1.html,sumer123321,,"#r##n#                                            我是网贷新人，在朋友的介绍下刚刚接触网贷，对这一领域的了解还处于表层，最近尝试着投资了几个平台，由于我是比较保守的人，所以在投资的过程中也是再三考虑之后投资了4个个人认为相对安全的平台，首先个人觉得桔子理财的资产端来自大学生消费借贷，因而相对比较安全，正好当时有红包活动，所以就小投了一些。网信理财是因为朋友介绍说还不错，而且当时也有红包还没有用所以也投了一些，剩下的两个投的都是活期的，这两个平台也是经过比较最后选定的，虽然没有奖励，但是利率还是可以接受的。#r##n#                                                        ",2015-10-29 16:34:18,,5,5,,,
